LQ,LD,resultado,vmp,outlier
0.1,0.0,0.0,1.0,no
0.001,0.0003,0.02,0.1,no
0.0,0.0,0.0,0.7,no
0.0,0.0,0.0,180.0,no
0.025,0.0,0.0,0.05,no
0.0,0.0,0.098,0.1,no
0.1,0.0,0.613,10.0,no
0.0,0.0,0.0,8.0,no
1.0,0.3,0.0,9.0,no
0.5,0.0,0.0,2.0,no
0.001,0.0003,0.07,0.1,no
0.001,0.0003,0.02,0.1,no
0.001,0.0003,0.06,0.1,no
0.001,0.0003,0.03,0.1,no
0.0,0.0,0.0,20.0,no
0.03,0.01,0.0,0.07,no
0.0,0.0,0.0,0.2,no
0.0,0.0,0.0,6.0,no
0.001,0.0003,0.01,0.1,no
0.0,0.0,0.0,0.08,no
0.005,0.0,0.0,0.01,no
1.0,0.3,0.0,20.0,no
0.004,0.0,0.0,0.6,no
0.0005,0.0,0.0,0.005,no
0.005,0.0,0.0,0.07,no
0.004,0.001,0.0,0.01,no
0.001,0.0003,0.01,0.1,no
0.0,0.0,0.0,20.0,no
0.0,0.0,0.0,0.08,no
0.0,0.0,0.0,2.0,no
0.005,0.0,0.0,0.01,no
0.001,0.0003,0.02,0.1,no
0.01,0.0,0.0,0.5,no
0.005,0.0,0.0,0.01,no
0.0,0.0,0.0,20.0,no
1.0,0.3,0.0,10.0,no
0.0,0.0,0.0,0.2,no
0.001,0.0003,0.04,0.1,no
2.0,0.0,0.0,20.0,no
0.0,0.01,0.0,20.0,no
0.025,0.0,0.0,0.05,no
0.01,0.0,0.0,8.0,no
0.0,0.01,0.0,1.0,no
0.0005,0.0,0.0,0.005,no
0.002,0.0006,0.0,0.005,no
0.001,0.0003,0.01,0.1,no
0.1,0.0,0.0,1.0,no
0.001,0.0003,0.01,0.1,no
0.0,0.0,0.034,0.1,no
0.0125,0.0,0.01,0.07,no
0.0,0.01,0.0,2.0,no
0.0125,0.0,0.0,0.07,no
0.005,0.01,0.0,0.01,no
0.0,0.0,0.004,0.1,no
0.0,0.01,0.0,12.0,no
110.0,0.01,110.0,500.0,yes
0.01,0.003,0.0,0.05,no
0.0,0.0,0.0,0.2,no
0.0025,0.0,0.0,0.005,no
0.1,0.0,0.0,0.5,no
0.005,0.01,0.006,2.0,no
0.005,0.01,0.0,20.0,no
0.0,0.0,0.095,0.1,no
0.0,0.0,0.048,0.1,no
120.0,0.0,0.01,500.0,yes
0.023,0.007,0.22,10.0,no
0.2,30.0,0.0,0.001,no
0.0,0.0,0.039,0.1,no
0.0,0.01,0.0,20.0,no
0.0,0.0,0.01,180.0,no
0.001,0.0003,0.02,0.1,no
120.0,0.0,0.01,500.0,yes
0.0,0.0,0.0,0.6,no
0.0,0.0,0.01,2.0,no
0.0,0.01,0.0,30.0,no
0.0025,0.0,0.0,0.005,no
1.0,0.3,0.01,20.0,no
0.0,0.0,0.0,0.1,no
60.0,30.0,0.01,500.0,yes
0.0,0.0,0.0,2.0,no
0.0,0.0,0.0,180.0,no
1.0,0.3,0.0,30.0,no
0.0,0.01,0.0,60.0,no
0.0,0.0,0.028,0.1,no
0.0,0.01,0.0,20.0,no
0.0,0.0,0.03,0.1,no
0.0,0.01,0.0,0.2,no
0.0,0.0,0.061,0.1,no
0.0,0.0,0.0,20.0,no
0.001,0.0003,0.0,0.1,no
0.0,0.0,0.0,0.08,no
0.005,0.0,0.0,0.03,no
0.001,0.0003,0.0,0.1,no
0.0,0.0,0.01,20.0,no
0.001,0.0003,0.04,0.1,no
0.001,0.0003,0.01,0.1,no
0.0,0.0,0.01,1.2,no
0.004,0.001,0.0,0.01,no
0.01,0.01,0.0,50.0,no
0.0,0.0,0.0,2.0,no
0.1,0.0,0.0,1.0,no
100.0,30.0,0.0,500.0,yes
2.0,0.0,0.01,500.0,yes
0.0,0.02,0.0,20.0,no
1.0,0.3,0.0,4.0,no
0.02,0.0,0.0,0.08,no
1.0,0.3,0.0,5.0,no
0.0,0.01,0.0,0.6,no
0.0,0.0,0.01,8.0,no
0.001,0.0003,0.0,0.1,no
0.0,0.0,0.015,0.1,no
0.005,0.0,0.0,0.07,no
0.5,0.02,0.01,2.0,no
0.0,0.0,0.037,0.1,no
0.025,0.01,0.0,0.05,no
0.001,0.0003,0.04,0.1,no
0.001,0.0003,0.01,0.1,no
0.005,0.0,0.01,20.0,no
0.0,0.01,0.0,0.7,no
0.015,0.005,0.0,0.7,no
0.0,0.01,0.02,20.0,no
0.02,0.01,0.0,10.0,no
0.001,0.0003,0.02,0.1,no
0.005,0.02,0.0,0.07,no
0.0,0.01,0.0,0.6,no
0.001,0.0,0.0,20.0,no
0.001,0.0003,0.02,0.1,no
1.0,0.3,0.0,20.0,no
0.0,0.0,0.0,180.0,no
0.004,0.001,0.0,0.04,no
0.0,0.02,0.0,20.0,no
0.02,0.0,0.0,10.0,no
0.0,0.02,0.0,2.0,no
0.0,0.0,0.0,20.0,no
0.03,0.01,0.0,0.7,no
0.001,0.0003,0.003,0.1,no
0.001,0.0003,0.003,0.1,no
0.001,0.0003,0.0,0.1,no
0.0,0.0,0.02,40.0,no
0.0025,0.01,0.0,0.005,no
0.0,0.0,0.008,0.1,no
0.001,0.0003,0.02,0.1,no
0.0,0.0,0.02,2.0,no
0.0,0.0,0.032,0.1,no
0.005,0.0,0.0,0.07,no
0.0,0.01,0.0,20.0,no
100.0,0.0,0.0,500.0,yes
0.1,0.0,0.0,1.0,no
0.0,0.0,0.02,1.2,no
0.005,0.01,0.0,0.01,no
0.001,0.0003,0.01,0.1,no
0.0025,0.0,0.01,0.005,no
0.002,0.0,0.0,1.0,no
0.005,0.0,0.01,0.01,no
0.001,0.0003,0.01,0.1,no
0.005,0.0,0.01,2.0,no
0.0025,0.0,0.0,0.005,no
0.0,0.0,0.0,20.0,no
0.0,0.0,0.0,0.2,no
0.004,0.0,0.0,0.6,no
0.001,0.0003,0.01,0.1,no
0.001,0.0003,0.01,0.1,no
400.0,0.0,0.0,500.0,yes
0.005,0.0,0.0,0.01,no
0.001,0.0003,0.03,0.1,no
1.0,0.0,0.0,2.0,no
0.001,0.0003,0.02,0.1,no
0.0,0.0,0.0,1.0,no
0.0,0.0,0.01,2.0,no
1.0,0.3,0.01,20.0,no
1.0,0.0,0.01,0.2,no
0.001,0.0003,0.02,0.1,no
0.001,0.0003,0.01,0.1,no
0.0005,0.01,0.0,0.005,no
0.3,0.09,0.0,10.0,no
0.0125,0.0,0.0,0.07,no
0.001,0.0003,0.02,0.1,no
0.0004,0.0001,0.0,0.005,no
0.005,0.0,0.0,0.07,no
0.0,0.01,0.045,0.1,no
0.0,0.0,0.0,2.0,no
0.0125,0.0,0.01,0.07,no
0.001,0.0003,0.03,0.1,no
0.005,0.0,0.01,0.07,no
0.0004,0.0001,0.0,0.005,no
60.0,30.0,0.0,500.0,yes
0.0,0.01,0.0,8.0,no
0.001,0.0003,0.01,0.1,no
0.001,0.0003,0.002,0.1,no
0.01,0.0,0.0,0.7,no
0.001,0.0003,0.01,0.1,no
100.0,0.0,0.0,500.0,yes
0.002,0.0,0.0,1.0,no
0.0004,0.0001,0.0,0.003,no
0.001,0.0003,0.03,0.1,no
